Rk,Player,Pos,Age,Tm,FG%,3P%,TRB,AST,STL,BLK,TOV,PTS
317,Moses Moody\moodymo01,SG,19,GSW,0.379,0.133,0.6,0.2,0.1,0.1,0.1,1.4
318,Ja Morant\moranja01,PG,22,MEM,0.476,0.356,5.6,6.8,1.6,0.3,3.2,24.1
319,Marcus Morris\morrima03,PF,32,LAC,0.433,0.371,4.8,1.9,0.5,0.3,1.4,13.8
320,Markieff Morris\morrima02,PF,32,MIA,0.457,0.364,2.8,1.4,0.3,0.1,1.2,7.7
321,Monte Morris\morrimo01,PG,26,DEN,0.484,0.369,2.7,4.3,0.8,0.2,1.4,12.8
322,Mychal Mulder\muldemy01,PG,27,ORL,0.302,0.306,1.2,0.1,0.2,0.1,0.3,3.5
323,Trey Murphy III\murphtr02,SF,21,NOP,0.363,0.373,2.2,0.5,0.3,0.1,0.4,4.4
324,Dejounte Murray\murrade01,PG,25,SAS,0.441,0.339,8.3,8.4,1.9,0.4,2.4,17.7
325,Mike Muscala\muscami01,C,30,OKC,0.467,0.443,3.2,0.5,0.3,0.5,0.4,8.4
326,Svi Mykhailiuk\mykhasv01,SF,24,TOR,0.423,0.330,2.5,1.1,0.7,0.1,0.8,6.8
327,Abdel Nader\naderab01,SF,28,PHO,0.343,0.286,1.9,0.5,0.6,0.3,0.8,2.4
328,Larry Nance Jr.\nancela02,PF,29,POR,0.517,0.277,5.3,1.7,0.9,0.3,0.8,6.3
329,RJ Nembhard\nembhrj01,SG,22,CLE,1.000,,0.5,0.5,0.0,0.0,0.0,1.0
330,Aaron Nesmith\nesmiaa01,SF,22,BOS,0.347,0.245,1.5,0.4,0.3,0.0,0.5,2.9
331,Raul Neto\netora01,PG,29,WAS,0.449,0.245,1.9,2.6,0.8,0.0,1.2,7.7
332,Georges Niang\niangge01,PF,28,PHI,0.441,0.380,2.5,1.5,0.6,0.3,0.8,10.4
333,Daishen Nix\nixda01,SG,19,HOU,,,0.0,1.0,0.0,0.0,0.0,0.0
334,Zeke Nnaji\nnajize01,PF,21,DEN,0.486,0.528,3.4,0.4,0.1,0.4,0.4,6.5
335,Nerlens Noel\noelne01,C,27,NYK,0.488,0.000,5.8,0.7,1.0,1.3,0.9,3.5
336,Jaylen Nowell\nowelja01,SG,22,MIN,0.375,0.286,0.9,1.1,0.2,0.3,0.1,3.0
337,Frank Ntilikina\ntilila01,PG,23,DAL,0.349,0.333,1.5,1.2,0.6,0.1,0.5,4.0
338,Jusuf Nurkić\nurkiju01,C,27,POR,0.574,0.217,10.3,2.4,1.1,0.5,2.1,13.4
339,David Nwaba\nwabada01,SF,29,HOU,0.479,0.167,3.1,0.6,0.6,0.2,0.5,4.1
340,Jordan Nwora\nworajo01,SF,23,MIL,0.390,0.333,3.2,1.0,0.3,0.4,1.1,6.8
341,Royce O'Neale\onealro01,SF,28,UTA,0.500,0.402,5.0,2.4,1.5,0.7,1.1,7.8
342,Semi Ojeleye\ojelese01,PF,27,MIL,0.255,0.214,3.6,0.4,0.4,0.5,0.5,3.0
343,Chuma Okeke\okekech01,PF,23,ORL,0.342,0.208,4.0,1.2,0.8,0.3,1.0,6.5
344,Josh Okogie\okogijo01,SG,23,MIN,0.333,0.250,2.2,0.9,0.6,0.3,0.5,2.5
345,Isaac Okoro\okorois01,SF,21,CLE,0.444,0.301,4.0,1.7,0.9,0.3,1.1,9.3
346,KZ Okpala\okpalkz01,PF,22,MIA,0.381,0.273,1.9,0.6,0.2,0.3,0.2,2.8
347,Kelly Olynyk\olynyke01,C,30,DET,0.459,0.341,5.3,2.3,1.4,0.7,1.5,12.5
348,Eugene Omoruyi\omorueu01,SF,24,DAL,0.400,0.500,1.8,0.5,0.0,0.0,0.0,1.8
349,Miye Oni\onimi01,SG,24,UTA,0.286,0.167,0.4,0.4,0.0,0.0,0.1,0.4
350,Cedi Osman\osmande01,SF,26,CLE,0.447,0.400,2.5,1.8,1.0,0.3,1.0,11.0
351,Kelly Oubre Jr.\oubreke01,SF,26,CHO,0.460,0.386,4.1,1.4,1.1,0.3,1.1,16.6
352,Kevin Pangos\pangoke01,PG,29,CLE,0.444,0.400,0.2,0.6,0.1,0.0,0.4,1.0
353,Jabari Parker\parkeja01,PF,26,BOS,0.519,0.556,2.2,0.4,0.3,0.1,0.6,4.6
354,Eric Paschall\pascher01,PF,25,UTA,0.419,0.300,1.8,0.6,0.1,0.1,0.5,3.3
355,Chris Paul\paulch01,PG,36,PHO,0.481,0.329,4.0,10.1,2.0,0.3,2.4,14.5
356,Cameron Payne\payneca01,PG,27,PHO,0.387,0.308,3.0,3.3,0.6,0.3,2.0,10.5
357,Elfrid Payton\paytoel01,PG,27,PHO,0.414,0.250,2.1,2.4,0.4,0.1,0.9,3.9
358,Gary Payton II\paytoga02,PG,29,GSW,0.670,0.417,3.0,0.7,1.2,0.3,0.5,6.4
359,Jamorko Pickett\pickeja01,PF,24,DET,1.000,1.000,0.0,0.0,0.0,0.0,0.3,1.0
360,Mason Plumlee\plumlma01,C,31,CHO,0.598,,7.2,2.8,0.9,1.0,1.3,6.7
361,Jakob Poeltl\poeltja01,C,26,SAS,0.624,,8.8,2.6,0.5,1.6,1.6,12.3
362,Aleksej Pokusevski\pokusal01,PF,20,OKC,0.338,0.200,4.3,1.2,0.5,0.5,1.2,4.5
363,Yves Pons\ponsyv01,SF,22,MEM,0.333,1.000,1.0,0.0,0.0,0.0,0.0,1.0
364,Jordan Poole\poolejo01,SG,22,GSW,0.442,0.338,3.4,3.4,1.0,0.2,2.5,17.9
365,Kevin Porter Jr.\porteke02,PG,21,HOU,0.358,0.309,4.4,5.8,1.3,0.3,4.0,12.8
366,Michael Porter Jr.\portemi01,SF,23,DEN,0.359,0.208,6.6,1.9,1.1,0.2,1.3,9.9
367,Otto Porter\porteot01,PF,28,GSW,0.444,0.402,4.7,1.0,0.8,0.3,0.6,7.5
368,Bobby Portis\portibo01,C,26,MIL,0.473,0.402,9.0,1.4,0.9,1.0,1.6,15.6
369,Kristaps Porziņģis\porzikr01,PF,26,DAL,0.443,0.288,8.1,2.0,0.7,1.6,1.4,19.7
370,Dwight Powell\poweldw01,C,30,DAL,0.569,0.350,4.4,1.1,0.4,0.5,0.7,5.5
371,Norman Powell\powelno01,SF,28,POR,0.466,0.403,2.7,1.9,0.9,0.4,1.4,17.8
372,Joshua Primo\primojo01,SG,19,SAS,0.545,0.500,0.8,0.5,0.4,0.5,0.0,2.0
373,Taurean Prince\princta02,PF,27,MIN,0.366,0.309,2.1,0.8,0.4,0.2,0.5,4.6
374,Payton Pritchard\pritcpa01,SG,24,BOS,0.271,0.319,1.1,1.4,0.0,0.1,0.6,2.6
375,Immanuel Quickley\quickim01,PG,22,NYK,0.390,0.346,2.4,2.6,0.7,0.1,1.1,10.2
376,Jahmi'us Ramsey\ramseja01,SG,20,SAC,0.357,0.167,0.0,0.3,0.0,0.1,0.0,1.9
377,Julius Randle\randlju01,PF,27,NYK,0.424,0.344,9.8,5.2,0.8,0.7,3.4,19.6
378,Austin Reaves\reaveau01,SG,23,LAL,0.500,0.390,2.5,1.1,0.2,0.1,0.7,5.8
379,Cam Reddish\reddica01,SF,22,ATL,0.406,0.375,2.7,0.9,1.1,0.2,1.2,11.3
380,Davon Reed\reedda01,SG,26,DEN,0.368,0.375,3.8,1.3,1.5,0.2,0.3,3.2
381,Paul Reed\reedpa01,C,22,PHI,0.486,0.000,2.5,0.5,0.6,0.6,0.4,2.4
382,Naz Reid\reidna01,C,22,MIN,0.459,0.354,3.4,0.7,0.5,0.9,1.0,8.9
383,Nick Richards\richani01,C,24,CHO,0.686,,2.0,0.3,0.2,0.5,0.5,3.5
384,Josh Richardson\richajo01,SG,28,BOS,0.464,0.354,2.8,1.3,0.6,0.5,0.7,9.7
385,Austin Rivers\riverau01,SG,29,DEN,0.346,0.271,1.4,0.8,0.5,0.1,0.6,3.9
386,Duncan Robinson\robindu01,SG,27,MIA,0.377,0.337,3.6,1.4,0.8,0.2,0.8,11.4
387,Justin Robinson\robinju01,PG,24,MIL,0.316,0.270,0.8,1.2,0.5,0.0,0.6,2.8
388,Mitchell Robinson\robinmi01,C,23,NYK,0.758,,7.6,0.6,0.4,1.7,0.5,7.1
389,Jeremiah Robinson-Earl\robinje02,C,21,OKC,0.412,0.333,5.7,0.8,0.5,0.3,0.9,6.9
390,Isaiah Roby\robyis01,PF,23,OKC,0.516,0.333,2.7,0.8,0.2,0.4,0.7,6.4
391,Rajon Rondo\rondora01,PG,35,LAL,0.317,0.280,2.4,3.6,0.8,0.2,1.6,3.4
392,Derrick Rose\rosede01,PG,33,NYK,0.445,0.402,3.0,4.0,0.8,0.5,1.5,12.0
393,Terrence Ross\rosste01,SG,30,ORL,0.394,0.290,2.4,2.2,0.6,0.2,1.6,11.1
394,Terry Rozier\roziete01,SG,27,CHO,0.435,0.355,3.4,3.6,1.2,0.5,1.4,17.6
395,Ricky Rubio\rubiori01,PG,31,CLE,0.358,0.340,3.9,6.5,1.3,0.1,2.6,12.6
396,D'Angelo Russell\russeda01,PG,25,MIN,0.387,0.332,4.1,6.4,0.9,0.7,2.6,18.8
397,Domantas Sabonis\sabondo01,C,25,IND,0.590,0.293,11.8,4.2,1.1,0.4,3.0,18.3
398,Tomáš Satoranský\satorto01,SG,30,NOP,0.321,0.143,2.0,2.0,0.3,0.0,0.7,2.7
399,Dennis Schröder\schrode01,SG,28,BOS,0.438,0.336,3.6,4.8,0.9,0.1,2.6,17.1
400,Jay Scrubb\scrubja01,SG,21,LAC,0.393,0.286,0.5,0.5,0.3,0.3,0.4,3.4
401,Wayne Selden\seldewa01,SG,27,NYK,,,0.0,0.0,0.0,0.0,0.0,0.0
402,Alperen Şengün\sengual01,C,19,HOU,0.492,0.294,4.7,2.7,1.1,0.8,1.8,9.2
