	index	Rk	Player	Pos	Age	Tm	FG%	3P%	TRB	AST	STL	BLK	TOV	PTS	All Star %	Conference
279	304	305	Ben McLemore\mclembe01	SG	28	POR	0.433	0.412	0.9	0.7	0.3	0.0	0.6	5.6	0.05	West
342	371	372	Joshua Primo\primojo01	SG	19	SAS	0.545	0.5	0.8	0.5	0.4	0.5	0.0	2.0	0.05	West
386	420	421	Jae'Sean Tate\tateja01	SF	26	HOU	0.495	0.321	5.8	3.1	0.9	0.7	2.0	12.3	0.05	West
413	449	450	Ish Wainright\wainris01	PF	27	PHO	0.25	0.182	1.3	0.3	0.3	0.0	0.3	1.3	0.05	West
65	70	71	Jalen Brunson\brunsja01	PG	25	DAL	0.497	0.325	4.0	5.0	0.8	0.0	1.4	14.8	0.04	West
86	95	96	Mike Conley\conlemi01	PG	34	UTA	0.49	0.457	2.1	5.4	1.2	0.3	1.8	13.6	0.04	West
320	347	348	Eugene Omoruyi\omorueu01	SF	24	DAL	0.4	0.5	1.8	0.5	0.0	0.0	0.0	1.8	0.04	West
379	412	413	Ish Smith\smithis01	PG	33	CHO	0.417	0.5	1.3	2.4	0.4	0.2	0.9	4.8	0.04	West
423	460	461	Derrick White\whitede01	SG	27	SAS	0.415	0.288	3.9	5.2	1.2	0.9	1.5	14.1	0.04	West
110	122	123	Sekou Doumbouya\doumbse01	PF	21	LAL	0.625	0.5	3.0	0.0	1.5	1.0	1.0	7.0	0.03	West
156	174	175	Tyrese Haliburton\halibty01	SG	21	SAC	0.442	0.395	4.0	5.7	1.8	0.9	1.9	11.5	0.03	West
199	219	220	Jaren Jackson Jr.\jacksja02	PF	22	MEM	0.428	0.343	5.3	1.0	0.9	1.9	1.5	16.4	0.03	West
237	260	261	Jake Layman\laymaja01	SF	27	MIN	0.308	0.333	0.7	0.1	0.1	0.1	0.2	1.0	0.03	West
278	303	304	Jordan McLaughlin\mclaujo01	PG	25	MIN	0.295	0.2	0.9	2.1	0.6	0.0	0.7	2.2	0.03	West
306	333	334	Zeke Nnaji\nnajize01	PF	21	DEN	0.486	0.528	3.4	0.4	0.1	0.4	0.4	6.5	0.03	West
336	365	366	Michael Porter Jr.\portemi01	SF	23	DEN	0.359	0.208	6.6	1.9	1.1	0.2	1.3	9.9	0.03	West
358	389	390	Isaiah Roby\robyis01	PF	23	OKC	0.516	0.333	2.7	0.8	0.2	0.4	0.7	6.4	0.03	West
41	44	45	Eric Bledsoe\bledser01	PG	32	LAC	0.425	0.318	3.8	3.7	1.3	0.4	2.0	9.5	0.02	West
45	48	49	Bol Bol\bolbo01	PF	22	DEN	0.438	0.0	1.3	0.4	0.1	0.2	0.0	1.4	0.02	West
61	65	66	Greg Brown III\browngr01	SF	20	POR	0.35	0.0	1.3	0.5	0.2	0.4	0.2	1.5	0.02	West
69	74	75	Jared Butler\butleja02	SG	21	UTA	0.344	0.316	0.7	0.6	0.1	0.4	0.5	1.9	0.02	West
73	79	80	Vlatko Čančar\cancavl01	PF	24	DEN	0.375	0.8	1.1	0.8	0.3	0.1	0.4	2.6	0.02	West
153	171	172	Josh Green\greenjo02	SG	21	DAL	0.6	0.5	1.5	0.5	0.4	0.1	0.2	2.4	0.02	West
166	184	185	Isaiah Hartenstein\harteis01	C	23	LAC	0.657	0.667	4.7	1.9	0.9	1.3	1.0	7.6	0.02	West
169	187	188	Jaxson Hayes\hayesja02	C	21	NOP	0.506	0.364	3.2	0.3	0.3	0.6	0.7	5.6	0.02	West
188	206	207	Markus Howard\howarma02	SG	22	DEN	0.355	0.391	0.3	0.3	0.4	0.0	0.4	4.3	0.02	West
211	232	233	Keon Johnson\johnske07	SG	19	LAC	0.286	0.0	0.6	0.4	0.2	0.0	0.2	1.8	0.02	West
228	250	251	John Konchar\konchjo01	SG	25	MEM	0.573	0.5	3.7	1.3	0.8	0.2	0.5	4.4	0.02	West
240	263	264	Alex Len\lenal01	C	28	SAC	0.526	0.4	4.2	1.0	0.2	1.0	1.1	6.1	0.02	West
258	282	283	Boban Marjanović\marjabo01	C	33	DAL	0.646	0.333	1.9	0.1	0.0	0.1	0.6	4.9	0.02	West
262	286	287	Cody Martin\martico01	SF	26	CHO	0.5	0.5	4.5	2.6	1.4	0.6	0.8	9.3	0.02	West
264	288	289	Kenyon Martin Jr.\martike04	SF	21	HOU	0.541	0.295	3.2	1.2	0.4	0.4	0.4	7.5	0.02	West
273	297	298	Jalen McDaniels\mcdanja01	SF	24	CHO	0.527	0.44	3.6	1.0	0.4	0.3	0.7	5.9	0.02	West
291	316	317	Moses Moody\moodymo01	SG	19	GSW	0.379	0.133	0.6	0.2	0.1	0.1	0.1	1.4	0.02	West
308	335	336	Jaylen Nowell\nowelja01	SG	22	MIN	0.375	0.286	0.9	1.1	0.2	0.3	0.1	3.0	0.02	West
313	340	341	Royce O'Neale\onealro01	SF	28	UTA	0.5	0.402	5.0	2.4	1.5	0.7	1.1	7.8	0.02	West
341	370	371	Norman Powell\powelno01	SF	28	POR	0.466	0.403	2.7	1.9	0.9	0.4	1.4	17.8	0.02	West
359	390	391	Rajon Rondo\rondora01	PG	35	LAL	0.317	0.28	2.4	3.6	0.8	0.2	1.6	3.4	0.02	West
368	399	400	Jay Scrubb\scrubja01	SG	21	LAC	0.393	0.286	0.5	0.5	0.3	0.3	0.4	3.4	0.02	West
369	401	402	Alperen Şengün\sengual01	C	19	HOU	0.492	0.294	4.7	2.7	1.1	0.8	1.8	9.2	0.02	West
378	411	412	Dennis Smith Jr.\smithde03	PG	24	POR	0.425	0.278	2.3	3.1	1.3	0.4	1.8	5.8	0.02	West
389	423	424	Daniel Theis\theisda01	C	29	HOU	0.496	0.3	5.2	0.8	0.5	0.7	1.3	8.9	0.02	West
405	441	442	Jarred Vanderbilt\vandeja01	PF	22	MIN	0.561	0.222	8.2	1.2	1.5	0.7	1.0	6.2	0.02	West
418	454	455	P.J. Washington\washipj01	PF	23	CHO	0.465	0.432	5.4	2.2	0.6	1.2	1.2	10.6	0.02	West
