	index	Rk	Player	Pos	Age	Tm	FG%	3P%	TRB	AST	STL	BLK	TOV	PTS	All Star %	Conference
294	319	320	Markieff Morris\morrima02	PF	32	MIA	0.457	0.364	2.8	1.4	0.3	0.1	1.2	7.7	0.0	East
300	325	326	Svi Mykhailiuk\mykhasv01	SF	24	TOR	0.423	0.33	2.5	1.1	0.7	0.1	0.8	6.8	0.0	East
303	329	330	Aaron Nesmith\nesmiaa01	SF	22	BOS	0.347	0.245	1.5	0.4	0.3	0.0	0.5	2.9	0.0	East
304	330	331	Raul Neto\netora01	PG	29	WAS	0.449	0.245	1.9	2.6	0.8	0.0	1.2	7.7	0.0	East
305	331	332	Georges Niang\niangge01	PF	28	PHI	0.441	0.38	2.5	1.5	0.6	0.3	0.8	10.4	0.0	East
312	339	340	Jordan Nwora\nworajo01	SF	23	MIL	0.39	0.333	3.2	1.0	0.3	0.4	1.1	6.8	0.0	East
314	341	342	Semi Ojeleye\ojelese01	PF	27	MIL	0.255	0.214	3.6	0.4	0.4	0.5	0.5	3.0	0.0	East
315	342	343	Chuma Okeke\okekech01	PF	23	ORL	0.342	0.208	4.0	1.2	0.8	0.3	1.0	6.5	0.0	East
317	344	345	Isaac Okoro\okorois01	SF	21	CLE	0.444	0.301	4.0	1.7	0.9	0.3	1.1	9.3	0.0	East
318	345	346	KZ Okpala\okpalkz01	PF	22	MIA	0.381	0.273	1.9	0.6	0.2	0.3	0.2	2.8	0.0	East
319	346	347	Kelly Olynyk\olynyke01	C	30	DET	0.459	0.341	5.3	2.3	1.4	0.7	1.5	12.5	0.0	East
322	349	350	Cedi Osman\osmande01	SF	26	CLE	0.447	0.4	2.5	1.8	1.0	0.3	1.0	11.0	0.0	East
345	374	375	Immanuel Quickley\quickim01	PG	22	NYK	0.39	0.346	2.4	2.6	0.7	0.1	1.1	10.2	0.0	East
349	378	379	Cam Reddish\reddica01	SF	22	ATL	0.406	0.375	2.7	0.9	1.1	0.2	1.2	11.3	0.0	East
353	383	384	Josh Richardson\richajo01	SG	28	BOS	0.464	0.354	2.8	1.3	0.6	0.5	0.7	9.7	0.0	East
355	385	386	Duncan Robinson\robindu01	SG	27	MIA	0.377	0.337	3.6	1.4	0.8	0.2	0.8	11.4	0.0	East
361	392	393	Terrence Ross\rosste01	SG	30	ORL	0.394	0.29	2.4	2.2	0.6	0.2	1.6	11.1	0.0	East
367	398	399	Dennis Schröder\schrode01	SG	28	BOS	0.438	0.336	3.6	4.8	0.9	0.1	2.6	17.1	0.0	East
376	409	410	Javonte Smart\smartja01	PG	22	MIL	0.409	0.364	2.0	0.9	0.3	0.0	0.6	3.9	0.0	East
382	416	417	Lamar Stevens\stevela01	PF	24	CLE	0.389	0.4	1.8	0.3	0.2	0.2	0.3	2.8	0.0	East
383	417	418	Isaiah Stewart\stewais01	C	20	DET	0.532	0.083	8.1	1.1	0.4	1.2	1.1	7.6	0.0	East
384	418	419	Max Strus\strusma01	SF	25	MIA	0.432	0.383	3.0	1.0	0.4	0.1	0.6	8.3	0.0	East
390	425	426	Cameron Thomas\thomaca02	SG	20	BRK	0.387	0.24	1.8	1.0	0.4	0.1	0.4	5.7	0.0	East
408	444	445	Gabe Vincent\vincega01	PG	25	MIA	0.448	0.389	1.7	2.6	0.7	0.2	1.4	7.3	0.0	East
410	446	447	Dean Wade\wadede01	PF	25	CLE	0.442	0.345	3.3	1.1	0.6	0.1	0.3	5.1	0.0	East
412	448	449	Moritz Wagner\wagnemo01	C	24	ORL	0.449	0.37	2.5	0.8	0.2	0.2	0.8	6.3	0.0	East
414	450	451	Kemba Walker\walkeke02	PG	31	NYK	0.429	0.413	2.6	3.1	1.1	0.3	1.3	11.7	0.0	East
416	452	453	Brad Wanamaker\wanambr01	PG	32	IND	0.385	0.25	1.7	2.2	0.2	0.3	0.9	3.8	0.0	East
419	455	456	Yuta Watanabe\watanyu01	SF	27	TOR	0.36	0.343	4.0	1.2	0.4	0.7	0.2	6.1	0.0	East
422	459	460	Coby White\whiteco01	PG	21	CHI	0.349	0.226	2.6	1.3	0.1	0.1	0.9	6.1	0.0	East
429	467	468	Lou Williams\willilo02	PG	35	ATL	0.395	0.341	1.6	1.2	0.7	0.1	1.0	6.8	0.0	East
432	471	472	Dylan Windler\windldy01	SF	25	CLE	0.442	0.379	1.7	0.9	0.3	0.1	0.4	2.7	0.0	East
436	476	477	Delon Wright\wrighde01	SG	29	ATL	0.368	0.348	2.7	2.2	0.7	0.2	0.5	2.8	0.0	East
